Powers, Time Taken
2.000000, 0.0000010000
4.000000, 0.0000010000
8.000000, 0.0000020000
16.000000, 0.0000090000
32.000000, 0.0000770000
64.000000, 0.0005910000
128.000000, 0.0048090001
256.000000, 0.0399539992
512.000000, 0.3129659891
